type,start,end,voyage,latitude,longitude,portVisitId,portVisitName,portVisitFlag,encounteredVesselId,encounteredVesselName,encounteredVesselFlag
fishing,2026-02-05T17:30:10.000Z,2026-02-12T23:57:17.000Z,1,-60.619,-44.8322,,,,,,
fishing,2026-02-01T16:29:59.000Z,2026-02-01T19:09:40.000Z,1,-60.5582,-44.881,,,,,,
fishing,2026-01-13T17:49:24.000Z,2026-02-01T15:27:22.000Z,1,-60.4751,-45.5826,,,,,,
fishing,2026-01-12T19:51:01.000Z,2026-01-13T14:40:07.000Z,1,-60.227,-46.8224,,,,,,
fishing,2026-01-10T15:39:04.000Z,2026-01-10T16:33:13.000Z,1,-60.7315,-45.5338,,,,,,
fishing,2026-01-10T11:48:44.000Z,2026-01-10T13:07:03.000Z,1,-60.7723,-45.5273,,,,,,
fishing,2026-01-09T21:23:04.000Z,2026-01-10T10:20:04.000Z,1,-60.6617,-45.7779,,,,,,
fishing,2026-01-09T12:01:04.000Z,2026-01-09T12:53:23.000Z,1,-60.8953,-45.6153,,,,,,
fishing,2026-01-09T10:48:34.000Z,2026-01-09T11:41:24.000Z,1,-60.8672,-45.582,,,,,,
fishing,2026-01-09T01:43:00.000Z,2026-01-09T02:07:10.000Z,1,-61.1663,-46.8619,,,,,,
fishing,2026-01-08T18:57:34.000Z,2026-01-08T23:38:03.000Z,1,-61.2042,-46.8604,,,,,,
fishing,2026-01-08T13:25:12.000Z,2026-01-08T14:35:04.000Z,1,-61.1554,-46.8708,,,,,,
fishing,2026-01-06T18:51:03.000Z,2026-01-08T12:35:06.000Z,1,-61.0524,-47.0253,,,,,,
fishing,2026-01-06T16:52:04.000Z,2026-01-06T18:00:51.000Z,1,-60.9824,-47.1376,,,,,,
fishing,2026-01-05T18:13:22.000Z,2026-01-06T14:49:04.000Z,1,-60.947,-47.1123,,,,,,
fishing,2026-01-05T09:09:43.000Z,2026-01-05T10:39:11.000Z,1,-61.0015,-46.7825,,,,,,
fishing,2026-01-05T04:41:52.000Z,2026-01-05T05:40:53.000Z,1,-60.7571,-47.1027,,,,,,
