Quantity;latitude;Longitude;Date
21711;-61.49;-58.476667;02/01/2021
11841;-63.528056;-61.54;12/07/2019
8652;-63.366667;-59.35;29/04/2014
2238;-63.036667;-57.719444;02/05/2020
24219;-63.256667;-59.231667;09/04/2013
21268;-63.083333;-58.65;03/05/2013
30442;-63.063333;-57.693333;10/06/2022
6216;-61.583333;-57.694722;25/01/2013
11932;-61.646667;-58.566667;15/01/2013
3170;-61.756667;-58.853056;09/01/2013
8658;-63.563333;-59.628056;05/05/2018
44745;-63.273333;-59.003056;10/06/2018
7694;-63.198333;-59.573333;26/05/2018
39742;-62.88;-59.838333;13/06/2019
1791;-62.6;-61.62;16/05/2012
15784;-63.048333;-57.81;15/05/2020
23013;-62.653333;-55.244722;06/04/2022
19405;-62.976667;-58.656667;21/06/2022
6612;-62.966667;-62.9;13/01/2014
27265;-62.655;-54.673333;11/04/2022
1043;-63.561389;-59.38;08/05/2018
13284;-63.613333;-59.183333;04/04/2018
6054;-63.248333;-59.101667;25/12/2011
15326;-63.061667;-59.015;22/12/2011
15950;-65.906667;-56.086111;06/01/2019
18544;-63.008333;-59.616667;15/06/2019
7393;-60.933333;-55.716667;10/01/2019
20245;-61.375;-58.158333;01/01/2021
15415;-63.466667;-60.45;06/05/2014
34739;-62.994722;-57.33;13/06/2022
3481;-63.933333;-62.95;04/01/2014
20689;-63.256667;-59.196389;29/04/2022
12306;-64.15;-61.216667;31/03/2014
13849;-63.333333;-59.266667;08/04/2014
7643;-63.565;-59.61;23/03/2013
28360;-63.446667;-59.123333;07/06/2018
19088;-63.252778;-59.465;16/06/2018
15312;-61.06;-55.981667;30/12/2018
18085;-64.288333;-61.306667;12/05/2012
30709;-63.583333;-61.096667;24/06/2019
13785;-63.051667;-59.17;20/12/2011
10085;-62.526667;-61.461667;05/06/2012
30662;-63.041667;-57.833333;23/04/2019
10696;-62.538333;-61.111667;21/05/2012
12283;-63.456667;-61.569444;12/07/2019
24256;-63.026667;-58.753333;06/05/2020
13861;-63.58;-60.825;24/06/2022
10573.7;-63.75;-60.05;14/05/2013
18022;-63.033333;-59.383333;05/04/2014
7927;-63.023333;-58.498333;07/05/2021
34427;-62.946667;-58.619722;22/05/2018
6322;-63.275;-59.115;27/12/2011
39174;-62.838333;-59.64;07/06/2012
30685;-63.028056;-57.94;22/04/2019
13959;-63.315;-59.233333;30/04/2020
21295;-63.01;-58.593333;06/05/2020
14323;-63.15;-59.016667;05/05/2013
46903;-63.055;-57.655;11/06/2022
9217;-61.465;-57.573333;26/01/2013
18396;-63.69;-60.426667;19/04/2021
33429;-63.835;-60.294722;12/04/2021
21977;-63.598333;-60.868333;26/04/2021
26086;-63.415;-59.144722;08/06/2018
9956;-61.052778;-55.855;25/12/2018
23788;-63.18;-58.915;14/05/2019
22575;-62.958333;-59.215;06/06/2019
20544;-63.125;-59.286667;06/06/2019
2050;-62.523333;-56.663333;30/12/2020
32684;-63.15;-58.75;05/05/2013
17796;-63.083333;-63.116667;29/12/2013
47922;-63.051667;-57.731667;11/06/2022
25228;-63.38;-59.915;01/06/2022
9012;-63.033333;-58.966944;21/03/2014
7314;-61.49;-57.74;26/01/2013
9456;-63.433333;-59.433333;26/03/2013
24387;-63.931667;-60.555;14/04/2021
24225;-63.981667;-60.838333;25/04/2021
23325;-63.453056;-59.153056;09/06/2018
53406;-63.446667;-59.143333;06/06/2018
10771;-63.288333;-59.238333;15/06/2018
4982;-63.795;-60.419444;12/04/2012
18733;-62.838333;-69.425;14/06/2019
10400;-63.088333;-59.186667;18/12/2011
27804;-63.038333;-57.888333;23/04/2019
24155;-63.006667;-59.52;20/04/2019
22809;-63.646667;-61.118333;31/05/2012
8927;-61.365;-57.706667;18/01/2021
5065;-63.183333;-58.7;16/05/2014
10025;-62.533333;-62.533333;12/02/2014
27690;-62.591667;-55.333333;04/04/2022
27887;-63.181667;-59.386389;12/04/2013
23917;-62.796667;-54.888333;08/04/2022
7918;-62.894722;-57.438333;19/05/2021
5921;-63.63;-59.482222;08/04/2018
44782;-62.915;-57.552778;23/03/2018
10061;-63.068333;-59.063333;23/12/2011
9057;-61.04;-55.761389;10/01/2019
21252;-62.886111;-57.394722;05/05/2019
8620;-62.54;-61.105;20/05/2012
22069;-61.486111;-58.481667;02/01/2021
38158;-62.996667;-57.525;02/05/2020
18371;-63.002778;-58.936111;07/05/2020
21268;-63.083333;-58.6;03/05/2013
30731;-63.073333;-57.708333;10/06/2022
15539;-61.636389;-57.681667;25/01/2013
16543;-61.611389;-58.573333;14/01/2013
3170;-61.809722;-58.859722;09/01/2013
14628;-63.23;-59.158333;07/04/2013
1988;-63.505;-59.45;23/03/2013
