zone_id;seq;lat;lon;protected
GPZ-EI;1;-60.97;-53.44;All year 
GPZ-EI;2;-61.71;-53.44;All year 
GPZ-EI;3;-61.71;-56.11;All year 
GPZ-EI;4;-61.31;-56.11;All year 
GPZ-EI;5;-60.83;-55.50;All year 
GPZ-EI;6;-60.97;-55.00;All year 
GPZ-EI;7;-60.97;-53.44;All year 
GPZ-JOIN;1;-63.00;-56.08;All year 
GPZ-JOIN;2;-63.00;-53.44;All year 
GPZ-JOIN;3;-63.42;-53.50;All year 
GPZ-JOIN;4;-64.00;-53.49;All year 
GPZ-JOIN;5;-64.00;-58.71;All year 
GPZ-JOIN;6;-63.84;-58.97;All year 
GPZ-JOIN;7;-63.10;-56.56;All year 
GPZ-JOIN;8;-63.00;-56.08;All year 
GPZ-LIC;1;-62.00;-60.25;All year 
GPZ-LIC;2;-62.50;-62.77;All year 
GPZ-LIC;3;-62.93;-61.88;All year 
GPZ-LIC;4;-62.46;-60.09;All year 
GPZ-LIC;5;-62.29;-60.14;All year 
GPZ-LIC;6;-62.00;-60.25;All year 
GPZ-GSW;1;-64.00;-63.70;All year 
GPZ-GSW;2;-64.89;-65.20;All year 
GPZ-GSW;3;-65.67;-63.63;All year  
GPZ-GSW;4;-64.93;-62.20;All year  
GPZ-GSW;5;-64.00;-63.70;All year  
GPZ-GC;1;-64.89;-65.20;All year  
GPZ-GC;2;-66.29;-68.05;All year  
GPZ-GC;3;-66.97;-65.84;All year  
GPZ-GC;4;-65.67;-63.63;All year  
GPZ-GC;5;-64.89;-65.20;All year  
GPZ-MB;1;-66.29;-68.05;All year  
GPZ-MB;2;-67.00;-70.00;All year  
GPZ-MB;3;-73.22;-70.00;All year 
GPZ-MB;4;-73.22;-66.20;All year  
GPZ-MB;5;-66.97;-65.84;All year  
GPZ-MB;6;-66.29;-68.05;All year 
GPZ-SWAP Coast;1;-67.00;-70.00;All year  
GPZ-SWAP Coast;2;-67.50;-73.93;All year  
GPZ-SWAP Coast;3;-70.85;-81.45;All year  
GPZ-SWAP Coast;4;-72.00;-84.00;All year  
GPZ-SWAP Coast;5;-74.08;-84.00;All year  
GPZ-SWAP Coast;6;-74.23;-76.32;All year  
GPZ-SWAP Coast;7;-74.23;-70.00;All year 
GPZ-SWAP Coast;8;-67.00;-70.00;All year 
GPZ-SWAP Shelf;1;-66.00;-70.00;All year 
GPZ-SWAP Shelf;2;-66.00;-73.00;All year 
GPZ-SWAP Shelf;3;-69.10;-81.50;All year 
GPZ-SWAP Shelf;4;-70.85;-81.45;All year 
GPZ-SWAP Shelf;5;-67.50;-73.97;All year 
GPZ-SWAP Shelf;6;-67.00;-70.00;All year 
GPZ-SWAP Shelf;7;-66.00;-70.00;All year 
