zone_id;seq;lat;lon;protected
SPZ-LIS;1;-61.50;-59.00;04-05
SPZ-LIS;2;-62.00;-60.25;04-05
SPZ-LIS;3;-62.50;-62.77;04-05
SPZ-LIS;4;-61.55;-62.59;04-05
SPZ-LIS;5;-61.50;-59.00;04-05
SPZ-SINE;1;-62.29;-60.14;12-02
SPZ-SINE;2;-61.71;-58.00;12-02
SPZ-SINE;3;-62.00;-58.00;12-02
SPZ-SINE;4;-62.46;-60.09;12-02
SPZ-SINE;5;-62.29;-60.14;12-02
SPZ-BS;1;-62.00;-58.00;10-02
SPZ-BS;2;-62.00;-57.25;10-02
SPZ-BS;3;-62.35;-57.25;10-02
SPZ-BS;4;-63.32;-61.10;10-02
SPZ-BS;5;-62.93;-61.88;10-02
SPZ-BS;6;-62.46;-60.09;10-02
SPZ-BS;7;-62.00;-58.00;10-02
SPZ-GSE;1;-62.50;-62.77;10-03
SPZ-GSE;2;-62.93;-61.88;10-03
SPZ-GSE;3;-63.32;-61.10;10-03
SPZ-GSE;4;-64.06;-59.74;10-03
SPZ-GSE;5;-64.93;-62.20;10-03
SPZ-GSE;6;-64.00;-63.70;10-03
SPZ-GSE;7;-62.50;-62.77;10-03
