,Unnamed: 0,City,Candidate (HTML),Status,Reason,Ordre,Libellé de la liste,Code nuance de liste,Numéro de panneau,Code circonscription,Code département,Libellé département,Code commune,Libellé commune,% Voix/exprimés,Libellé de liste,Code commune str,% Voix/exprimés str,population,latitude_centre,longitude_centre,dep_nom,reg_nom,nom_standard,superficie_km2,densite
0,0,Aix-en-Provence,Magali Bailleul,Found,Match successful.,2.0,AIX AVENIR,LUG,3.0,13001,13.0,Bouches-du-Rhône,13001.0,Aix-en-Provence,"20,15%",AIX AVENIR,13001,20.15,147478.0,43.536,5.399,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Aix-en-Provence,188.0,786.0
1,1,Aix-en-Provence,Jean-Yves Maurel,Found,Match successful.,17.0,AIX AVENIR,LUG,3.0,13001,13.0,Bouches-du-Rhône,13001.0,Aix-en-Provence,"20,15%",AIX AVENIR,13001,20.15,147478.0,43.536,5.399,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Aix-en-Provence,188.0,786.0
2,2,Alès,Marc Peyroche,Found,Match successful.,9.0,Alès c'est Vous !,LCOM,3.0,30007,30.0,Gard,30007.0,Alès,"15,06%",Alès c'est Vous !,30007,15.06,43892.0,44.125,4.088,Gard,Occitanie,Alès,23.0,1886.0
3,3,Alès,Virginie Roux,Found,Match successful.,14.0,Alès c'est Vous !,LCOM,3.0,30007,30.0,Gard,30007.0,Alès,"15,06%",Alès c'est Vous !,30007,15.06,43892.0,44.125,4.088,Gard,Occitanie,Alès,23.0,1886.0
4,4,Amiens,Catherine Vanacker,Found,Match successful.,12.0,"Pour Amiens en mieux, la Gauche unie, écologiste et citoyenne",LUG,2.0,80021,80.0,Somme,80021.0,Amiens,"23,97%","Pour Amiens en mieux, la Gauche unie, écologiste et citoyenne",80021,23.97,133625.0,49.901,2.29,Somme,Hauts-de-France,Amiens,50.0,2668.0
5,5,Amiens,Cyril Prince,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
6,6,Angers,Céline Veron,Found,Match successful.,6.0,Demain Angers,LUG,1.0,49007,49.0,Maine-et-Loire,49007.0,Angers,"28,71%",Demain Angers,49007,28.71,157175.0,47.477,-0.556,Maine-et-Loire,Pays de la Loire,Angers,44.0,3546.0
7,7,Angoulême,Aurélie Zadra,Found,Match successful.,2.0,CHOISISSONS ANGOULEME AVEC PATRICK MARDIKIAN,LDVG,4.0,16015,16.0,Charente,16015.0,Angoulême,"12,82%",CHOISISSONS ANGOULEME AVEC PATRICK MARDIKIAN,16015,12.82,41086.0,45.647,0.145,Charente,Nouvelle-Aquitaine,Angoulême,22.0,1894.0
8,8,Angoulême,Alexandre Perez,Found,Match successful.,5.0,CHOISISSONS ANGOULEME AVEC PATRICK MARDIKIAN,LDVG,4.0,16015,16.0,Charente,16015.0,Angoulême,"12,82%",CHOISISSONS ANGOULEME AVEC PATRICK MARDIKIAN,16015,12.82,41086.0,45.647,0.145,Charente,Nouvelle-Aquitaine,Angoulême,22.0,1894.0
9,9,Annecy,Alain Roubian,Found,Match successful.,11.0,Vivre Annecy,LUG,4.0,74010,74.0,Haute-Savoie,74010.0,Annecy,"24,70%",Vivre Annecy,74010,24.7,131715.0,45.891,6.126,Haute-Savoie,Auvergne-Rhône-Alpes,Annecy,16.0,8258.0
