,decimalLongitude,organismQuantity,decimalLatitude,year
0,-56.0,15.4,-61.0,1983
1,-178.0,0.0,-68.1667,1929
2,-37.2333,0.0,-52.4333,1930
3,-37.2333,0.0,-52.4333,1930
4,-37.2333,0.0,-52.6167,1930
5,-37.2333,0.0,-52.6167,1930
6,-37.2333,0.0,-56.4333,1930
7,-37.2333,0.0,-56.4333,1930
8,-37.2333,0.0,-56.4333,1930
9,-37.2333,2.6,-56.4333,1930
10,-37.2333,0.0,-56.4333,1930
11,-37.2333,2.597,-56.4333,1930
12,-37.2333,0.0,-56.4333,1930
13,-37.1667,2.5,-53.2833,1930
14,-37.1667,0.2,-53.2833,1930
15,-37.1667,0.0,-53.2833,1930
16,-37.1667,0.0,-53.2833,1930
17,-37.1667,0.0,-53.2833,1930
18,-37.1667,0.0,-53.2833,1930
19,-37.1667,0.0,-53.2833,1930
20,-37.1667,0.0,-53.2833,1930
21,-37.1667,0.0,-53.2833,1930
22,-37.1833,0.0,-53.0,1930
23,-37.1833,0.0,-53.0,1930
24,-37.1833,0.0,-53.0,1930
25,-37.1833,0.0,-53.0,1930
26,-37.1833,0.0,-53.0,1930
27,-37.1833,13.0,-53.0,1930
28,-37.1833,0.0,-53.0,1930
29,-37.1833,12.985,-53.0,1930
30,-37.1833,0.0,-53.0,1930
31,-37.2,0.0,-52.7667,1930
32,-37.2,0.0,-52.7667,1930
33,-37.2,0.0,-52.7667,1930
34,-37.2,0.0,-52.7667,1930
35,-37.2,0.0,-52.7667,1930
36,-37.2,0.0,-52.7667,1930
37,-37.2,0.0,-52.7667,1930
38,-37.2,0.0,-52.7833,1930
39,-37.2,0.0,-52.7833,1930
40,-37.2333,0.0,-52.6,1930
41,-37.2333,0.0,-52.6,1930
42,-37.2333,0.0,-52.6,1930
43,-37.2333,0.0,-52.6,1930
44,-37.2333,0.0,-52.6,1930
45,-37.2333,0.0,-52.6,1930
46,-37.2333,0.0,-52.6,1930
47,-37.2333,0.0,-53.1,1930
48,-37.2333,0.0,-53.1,1930
49,-37.2333,0.0,-53.1,1930
50,-37.2333,0.0,-53.1,1930
51,-37.2333,0.0,-53.1,1930
52,-37.2333,0.0,-53.1,1930
53,-37.2333,0.0,-53.1,1930
54,-37.2333,0.0,-53.1,1930
55,-37.2333,0.0,-53.1,1930
56,-37.0667,0.137,-53.6,1930
57,-37.0667,0.0,-53.6,1930
58,-37.0667,0.0,-53.6,1930
59,-37.0667,0.0,-53.6,1930
60,-37.0667,0.0,-53.6,1930
61,-37.0667,0.0,-53.6,1930
62,-37.1167,0.0,-53.4667,1930
63,-37.1167,0.0,-53.4667,1930
64,-37.1167,0.0,-53.4667,1930
65,-37.1167,0.0,-53.4667,1930
66,-37.1167,0.0,-53.4667,1930
67,-37.1167,0.0,-53.4667,1930
68,-37.1167,0.0,-53.4667,1930
69,-37.1167,0.0,-53.4667,1930
70,-37.1167,0.0,-53.4667,1930
